id,category/id,category/name/ca,category/name/es,scope/id,scope/name/ca,scope/name/es,participatory_space/id,participatory_space/url,component/id,title/ca,body/ca,state,reference,answer/ca,answer/es,supports,endorsements/total_count,endorsements/user_endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals,is_amend,original_proposal/title,original_proposal/url
500,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Millorar la xarxa de carrils bicis i fer-los més segurs,"Més carrils bicis ben comunicats, correctes i segurs, per poder-se desplaçar a qualsevol punt del centre sense deixar el carril bici.   Posar una balla en el que hi ha davant de l'escola Cossetania per a que els nens si se surten no caiguin a la via dels cotxes.  ",rejected,VG-PROP-2018-04-500,"<p>És una proposta entrada fora de termini . </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,1,2018-04-16 08:43:10 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/500,,,False,,
499,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Asfalt carrers Mas Tapet,Asfaltar carrers d' en Mas Tapet que encara están de terra per tal de poder tenir una millor accesibilitat cap al centre.,rejected,VG-PROP-2018-04-499,"<p>És una proposta poc concreta i supera els 30000 euros. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,1,2018-04-16 08:44:39 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/499,,,False,,
498,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Àrea de jocs plaça alumnes obrers,"Ampliar, renovar i arreglar l'àrea de jocs de la plaça dels alumnes obrers que sembla un parc infantil deixat, i amb pocs elements d'esbarjo, on cada vegada  van menys nens a jugar, a part de de que la  plaça esta deixada i plena de pintades.",rejected,VG-PROP-2018-04-498,"<p>És una actuació que s'està portant a terme i/o està prevista al pressupost municipal. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,1,2018-05-10 17:09:29 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/498,,,False,,
497,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Arranjar la zona de les pistes de l'Escola Canigó de forma naturalitzada,"Per seguir amb el projecte de transformació del pati de l’escola, cal intervenir la zona de les pistes instal·lant un drenatge subterrani i anivellant el terreny per evitar l'erosió al voltant de les pistes quan plou. Això provoca un desnivell important i perillós a l'hora de fer-les servir. Al mateix temps cal ampliar la pista de bàsquet pels quatre costats, on es juguen partits de competició. L'Escola forma part del projecte Pati Obert i tota la ciutadania pot gaudir del pati de l'escola.",accepted,VG-PROP-2018-04-497,,,0,0,,0,0,1,2018-04-16 11:40:32 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/497,,,False,,
496,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Millora de la zona verda de l'Escola Ginesta,"Des de l'Escola Ginesta volem proposar l’ampliació de la zona verda annexa a l'Hort i al Racó de la Biodiversitat de l’Escola amb la creació d’un espai lúdic en el que s’instal·laran diferents estructures de jocs creades a partir de materials naturals transformats artesanalment. Integrats amb aquestes estructures, s’hi plantarien arbres i vegetació, que dotarien al conjunt de coherència amb l’entorn en que es duria a terme. La inversió aproximada seria d'uns 8,000 euros.  ",accepted,VG-PROP-2018-04-496,,,0,0,,0,0,1,2018-04-17 12:12:07 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/496,,,False,,
495,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Zones d'ombra a l'escola l'Arjau,"Degut a la orientació dels edificis de l'escola l'Arjau, en els mesos de forta insolació a les aules del costat mar i a certes zones del pati hi fa molta calor. En algunes aules, durant la onada de calor del juny passat, es va arribar als 34 graus. Demanem la instal·lació d'uns sistemes d'ombra a la part sud del pati, que protegeixi amb veles o tendals la zona del costat de les pistes, la paret sud del mòdul d'infantil  i les aules del mòdul de primària més exposades al sol. ",accepted,VG-PROP-2018-04-495,,,0,1,ANGEL LLUIS GIL GARCIA,0,0,1,2018-04-17 12:12:55 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/495,,,False,,
494,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Renovación de la iluminación barrio el taco. ,"El barrio del tacó parece abandonado a su suerte por la noche tenemos una muy baja visibilidad  por las calles internas,  incluso en las paradas del autobús no hay señaletica actualizada con los horarios y casi ninguna iluminación, debería replantearse la visibilidad ya que son las personas mayores del barrio las que hacen un uso exhaustivo de este servicio. ",rejected,VG-PROP-2018-04-494,"<p>És una actuació que s'està portant a terme i/o està prevista al pressupost municipal. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,1,2018-04-16 08:48:23 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/494,,,False,,
493,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Renovación de la iluminación barrio el taco. ,"El barrio del tacó parece abandonado a su suerte por la noche tenemos una muy baja visibilidad  por las calles internas,  incluso en las paradas del autobús no hay señaletica actualizada con los horarios y casi ninguna iluminación, debería replantearse la visibilidad ya que son las personas mayores del barrio las que hacen un uso exhaustivo de este servicio. ",rejected,VG-PROP-2018-04-493,"<p>És una actuació que s'està portant a terme i/o està prevista al pressupost municipal. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,1,2018-04-16 08:49:39 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/493,,,False,,
492,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Reforçament de la seguretat als vianants del Carrer Manuel Marquès i Almirall Colom,"A l'entrada del carrer Manuel Marquès hi ha un disc de prohibit circular que no es respecta. Sovint entren cotxes en direcció carrer Almirall Colom que no  respecten els vianants, ni quan creuen la rambla principal, ni quan arriben a la plaça dels carros. Al carrer Colom hi ha nens que no són respectats pels cotxes. Proposem la construcció de pilones hidràuliques a l'entrada del carrer Manuel Marquès. I al carrer Colom proposem pintar el paviment de color verd per reduir el trànsit de vehicles.",rejected,VG-PROP-2018-04-492,"<p>No és viable tècnicament i supera els 30000 euros, la passem al departament de Mobilitat per que faci una diagnosi</p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,1,2018-04-27 11:50:10 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/492,,,False,,
491,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Carril bici continu de muntanya a mar,"Actualment, és impossible transitar de forma continua amb un carril bici de muntanya a mar. Hi ha diversos trams, però tots estan partits algún lloc o a un altre. Un caril continu vol dir que només s'hagi de baixar o pujar i no anar fent girs i més girs en busca del carril bici. Algo similar al que ara existeix a gran part de la Ronda Ibèrica. Acabar el carril que baixa per la rambla Sant Jordi, continuar algún paral.lel a la rambla, com el de la Rambla Samà o anar per la ronda Europa.",rejected,VG-PROP-2018-04-491,"<p>&nbsp;</p><p>És una proposta poc concreta i supera els 30000 euros. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,1,2018-04-16 08:52:10 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/491,,,False,,
490,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,Cos de neteja dels parcs infantils,"Per la neteja dels parcs infantils, caldria tenir un cos de neteja dedicat. Amb l'actual organització, jardins s'encarrega de netejar dins del parc i neteja, s'encarrega de neteja fora del parc. Si només es neteja un dels dos cantons, no té sentit. Hauria de ser un esforç coordinat. Si amb l'actual organització no és possible, un cos especialitzat podria ser útil. Amb 2 operaris ben coordinats, seria prou per començar.",rejected,VG-PROP-2018-04-490,"<p>No és una inversió relacionada amb l'espai públic i/o la millora dels equipaments municipals i &nbsp;compromet el pressupost d'altres anys.&nbsp;</p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,1,2018-04-16 08:53:14 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/490,,,False,,
489,,,,,,,10,http://participa.vilanova.cat/processes/pressupostosparticipatius2018?participatory_process_slug=pressupostosparticipatius2018,26,"Millora de la neteja als parcs infantils, sobretot aprop de les escoles","Els parc infantils acostumen a estar força bruts, sobretot els que estan aprop de les escoles perquè són més transitats. I sovint la brutícia no la genera els principals usuaris dels parcs: els nens. L'acumulació de brutícia ve de gent incívica que entra a util.litzar els bancs dels parcs i deixa la brossa o de gosssos que l'util.litzen de lavabo. Caldria intensificar la neteja dins i fora dels parcs . El problema és que dins ho fa jardins, i fora ho fa neteja.  I al final, el parc brut.",rejected,VG-PROP-2018-04-489,"<p>&nbsp;No és una inversió relacionada amb l'espai públic i/o la millora dels equipaments municipals. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p><p><br></p>",,0,0,,0,0,1,2018-04-16 08:54:03 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2018/f/26/proposals/489,,,False,,
