id,category/id,category/name/ca,category/name/es,scope/id,scope/name/ca,scope/name/es,participatory_space/id,participatory_space/url,component/id,title,body,state,reference,supports,endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals
16,,,,16,"Barri, projecte d'obres","Barrio, proyecto de obras",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,CARRERS ACCESSIBLES PER A TOTHOM,"Proposta presentada per l’AV de Can Rull
Pressupost: 100.000€

Aquest projecte pretén construir rampes en substitució  o com a complement de les escales entre els carrers de Gustavo Adolfo Bécquer i  de Sal·lusti.  Aquesta proposta facilitaria  l’accessibilitat del veïnat que presenta mobilitat reduïda o bé que es desplacen amb cotxets i carros de la compra.
",,SBD-PROP-2017-11-16,223,0,0,0,0,2017-11-27 16:51:21 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/16,,
8,,,,16,"Barri, projecte d'obres","Barrio, proyecto de obras",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,REBAIXAR LES CANTONADES DE LES CRUÏLLES DEL BARRI DE LA CREU ALTA,"Proposta presentada per l'AV de La Creu Alta

Pressupost: 100.000€

Al barri de La Creu Alta hi ha un total de 254 cruïlles amb un total de 798 rebaixos de vorera. Cal reparar diverses cruïlles per què presenten problemes del tipus: falta rebaix, està mal ubicat,  hi ha elements que poden provocar caigudes, hi ha més d’un rebaix i cal unificar-los etc.

Aquest projecte pretén millorar l’accessibilitat i la mobilitat al barri de La Creu Alta i fer-lo més accessible a tota la ciutadania i sobre tot a la de mobilitat reduïda. 
Per portar-lo a terme caldrà reparar les cruïlles de les voreres per fer-les més accessibles. 
",,SBD-PROP-2017-11-8,271,1,0,0,2,2017-11-08 12:14:11 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/8,,
18,,,,16,"Barri, projecte d'obres","Barrio, proyecto de obras",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,RENOVACIÓ I MILLORA DEL PATI I PISTA COBERTA DE L’ESCOLA JOANOT ALISANDA,"Proposta presentada per l’ Escola i AMPA Joanot Alisanda
Pressupost: 75.500 €

Els espais del pati i la pista coberta són molt necessaris per al desenvolupament dels projectes de l’escola, de l’AMPA i del barri (el nostre centre està dins del projecte de “Patis Oberts”) El ferm dels dos espais és d’origen (any 1983) i està arribant al final de la seva vida útil. Per tant, cal una intervenció per millorar-los.

Detall de les propostes a portar a terme:
Millora del ferm de la pista exterior reparant esquerdes, anivellant la superfície i col·locant un  paviment adient per  a desenvolupar activitats esportives en general.
Creació de nous espais lúdics alternatius a l’ús de la pilota com zones de joc simbòlic o de conversa per atendre la diversitat d’interessos dels infants.
Nou paviment per a la pista coberta. Es col·locarà un terra sintètic adient per desenvolupar activitats esportives.
",accepted,SBD-PROP-2017-11-18,672,1,0,0,19,2017-11-27 17:00:11 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/18,,
23,,,,19,"Ciutat, projecte d'obres","Ciudad, proyecto de obras",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,PERSIANES AMUNT PER DONAR LLUM I AJUDAR A NENS I NENES AMB AUTISME,"Proposta presentada per l’ Associació obrir-se al món
Pressupost: 4.500 €

Aquest projecte està orientat a atendre millor als nens i nenes amb autisme de la nostra entitat. És per aquest motiu que necessitem posar persianes a les finestres del nostre local  per evitar la calor sufocant a l’estiu i el fred intens a l’hivern.  Aquesta mesura ens comportarà un gran estalvi energètic que ens farà més sostenibles, coherents i respectuosos amb el medi ambient. 

També necessitem fer el canvi de lluminària a làmpades LED. El motiu principal és per millorar  l’atenció dels nostres usuaris que és molt sensible a les oscil·lacions de llum fluorescent. En  alguns casos s’ha demostrat que la llum de fluorescent pot provocar epilèpsia i/o angoixa per hipersensibilitat. Amb aquest canvi seguiríem treballant en la línia de l’estalvi energètic i el respecte al medi ambient. 

Ens ajudes? Dóna’ns el teu suport!
",accepted,SBD-PROP-2017-11-23,498,0,0,0,7,2017-11-28 10:57:22 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/23,,
9,,,,19,"Ciutat, projecte d'obres","Ciudad, proyecto de obras",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,CAMINS AL PARC DE CAN RIMBLES,"Proposta presentada per l'AV de Sant Oleguer i Sol i Padrís

Pressupost: 100.000€

Aquest projecte pretén reconvertir la zona de Can Rimbles en parc urbà centrat en l'esport a l’aire lliure per vinculació als equipaments esportius que ja hi ha a la zona. Aquesta és una proposta per preservar  aquest parc com a patrimoni cultural i natural de la ciutat.
El nostre projecte es centra en la primera fase i consisteix en l’adequació del vial principal d’aquesta zona.
",,SBD-PROP-2017-11-9,308,0,0,0,12,2017-11-08 12:24:11 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/9,,
19,,,,16,"Barri, projecte d'obres","Barrio, proyecto de obras",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,"ENTRE EL DINS I EL FORA. EL PATI, UN ESPAI EDUCATIU MÉS A L’ESCOLA ALCALDE MARCET (CAN PUIGGENER)","Proposta presentada per l’Escola Alcalde Marcet
Pressupost: 45.000 €

Aquest projecte és fruit d’un treball de reflexió que vàrem portar a terme a la nostra escola durant el curs 2016-2017. Va ser un treball d’observació  en el que van participar mestres i infants  per copsar i definir els interessos i les necessitats. La nostra escola té un pati amb moltes possibilitats però està desaprofitat per manca de recursos. El material que detallarem és natural i té un clar objectiu lúdic, didàctic i pedagògic. Propostes:

1.	Al pati de cicle infantil: espai per fer joc simbòlic amb sorral i cuinetes  fetes en fusta.
2.	Al pati de davant del menjador: espai de repòs i per  fer jocs de taula amb paviment de cautxú  i 4 taules de fusta amb els bancs incorporats.
3.	A les pistes esportives i el talús: espai de trobada amb troncs posats en rotllana i jardí aromàtic amb sistema de reg i proteccions adients.
4.	Pati del darrere: espai de joc simbòlic i estructura sonora amb cabanes tipus “tipi”  i estructura per desenvolupar el joc sonor de percussió.
5.	Pati interior: espai de la calma amb una pèrgola o estructura lleugera mòbil amb teles i tensors per crear zona d’ombra i descans.
6.	Pati lateral: instal·lació d’una estructura de joc per enfilar-se i potenciar el moviment lliure.
Aquesta intervenció serà molt profitosa tant per a la comunitat educativa, com per al mateix barri, ja que la nostra escola també s’utilitza per a la programació de Casals d’Estiu i per a les activitats del Pla Educatiu d’Entorn.
",accepted,SBD-PROP-2017-11-19,318,0,0,0,3,2017-11-27 17:03:36 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/19,,
36,,,,17,"Ciutat, projecte social","Ciudad, proyecto social",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,ENFEINAT! PROJECTE PER A LA MILLORA DE L’OCUPACIÓ DELS JOVES,"Proposta presentada per l’Associació Juvenil Esquitx
Pressupost: 48.000€

Aquest projecte vol millorar l’ocupabilitat dels joves en situació de vulnerabilitat a través de l’acompanyament socioeducatiu i d’una formació variada, innovadora i molt vivencial. Permetrà donar eines als joves per millorar la seva situació, generant noves oportunitats.

El projecte consta de diferents fases, des de la captació dels 60 joves de 16 a 25 anys en situació de vulnerabilitat, que no estiguin treballant ni estudiant, la realització d’una formació transversal becada de 180 hores, planificació d’un itinerari personalitzat per cada jove, una formació especialitzada/específica becada (monitor de lleure, mecànic de bicicletes, disseny de pàgines web i curs d’Hosteleria) i una fase final d’inserció ocupacional en la que es valorarà tant el retorn al sistema educatiu, com la inserció laboral.

",accepted,SBD-PROP-2017-11-36,349,2,0,0,7,2017-11-29 08:40:30 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/36,,
6,,,,16,"Barri, projecte d'obres","Barrio, proyecto de obras",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,LA PLAÇA DEL TREBALL – UN ESPAI DE LLEURE PER A TOTHOM,"Proposta presentada per l'Agrupació de Veïns de Gràcia

Pressupost: 100.000€

La plaça del Treball acull una gran diversitat de veïns i veïnes amb diferents necessitats de lleure que no troben resposta a les instal·lacions actuals de la plaça.  Per això, proposem remodelar els espais de la plaça del Treball ampliant l’àrea de jocs infantils,  instal·lant un circuit saludable. D’aquesta manera, els veïns i veïnes podran compartir i gaudir plegats del temps lliure.

Ampliar l’àrea de jocs infantils i crear zones adaptades a les diferents edats: de 0 a 5 anys: caseta, sorral amb excavadora, tobogan petit i gronxadors amb bancs pels acompanyants. De 6 a 12 anys:  tirolina, gronxadors, estructures multijocs amb tobogans, estructura d’escalada, dos gronxadors hamaca, una molla per infants amb discapacitat i una font d’aigua. Canvi del terra de seguretat.

Instal·lar un circuit saludable per augmentar la qualitat de vida: estructura workout pels més esportistes  i aparells gimnàstics per a la gent gran i per a qualsevol edat.
",,SBD-PROP-2017-11-6,542,1,0,0,26,2017-11-08 11:47:41 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/6,,
35,,,,17,"Ciutat, projecte social","Ciudad, proyecto social",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,ELS MEUS AMICS,"Proposta presentada per l’associació VIU-LA
Pressupost: 16.803,36 €

L’Associació VIU-LA ha presentat un projecte que consta d’un programa d’activitats de lleure per a joves entre 16 i 21 anys amb discapacitat, de respir i de suport a les seves famílies. El programa contempla casal de Nadal i Setmana Santa, així com sortides de caps de setmana durant l’any i un grup de suport a famílies.
",accepted,SBD-PROP-2017-11-35,257,0,0,0,6,2017-11-29 08:38:51 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/35,,
12,,,,16,"Barri, projecte d'obres","Barrio, proyecto de obras",6,https://decidim.sabadell.cat/processes/construintsbd?participatory_process_slug=construintsbd,43,PACIFICACIÓ DEL TRÀNSIT I MILLORA DEL CAMÍ ESCOLAR DAVANT DEL C.E SERRA,"Proposta presentada per la ciutadania

Pressupost: 100.000€

Obres de millora de la vorera del carrer Pérez Moya, entre els carrers Santiago Rusiñol i Saboneria.
Aquest projecte pretén millorar  la mobilitat del carrer Pérez Moya, tram comprès entre el carrer Santiago Rusiñol i Saboneria, donant més protagonisme al vianant envers el vehicle, augmentant la seva accessibilitat i la seva seguretat. ",accepted,SBD-PROP-2017-11-12,767,1,0,0,16,2017-11-09 16:40:14 UTC,https://decidim.sabadell.cat/processes/construintsbd/f/43/proposals/12,,
