id,category/id,category/name/en,category/name/ar,category/name/ca,category/name/de,category/name/es,category/name/es-MX,category/name/es-PY,category/name/eu,category/name/fi-pl,category/name/fi,category/name/fr,category/name/gl,category/name/hu,category/name/id,category/name/it,category/name/nl,category/name/no,category/name/pl,category/name/pt,category/name/pt-BR,category/name/ru,category/name/sv,category/name/tr,category/name/uk,scope/id,scope/name/en,scope/name/ar,scope/name/ca,scope/name/de,scope/name/es,scope/name/es-MX,scope/name/es-PY,scope/name/eu,scope/name/fi-pl,scope/name/fi,scope/name/fr,scope/name/gl,scope/name/hu,scope/name/id,scope/name/it,scope/name/nl,scope/name/no,scope/name/pl,scope/name/pt,scope/name/pt-BR,scope/name/ru,scope/name/sv,scope/name/tr,scope/name/uk,participatory_space/id,participatory_space/url,component/id,title,body,state,reference,answer/en,answer/ar,answer/ca,answer/de,answer/es,answer/es-MX,answer/es-PY,answer/eu,answer/fi-pl,answer/fi,answer/fr,answer/gl,answer/hu,answer/id,answer/it,answer/nl,answer/no,answer/pl,answer/pt,answer/pt-BR,answer/ru,answer/sv,answer/tr,answer/uk,supports,endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals
706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Aprcabicis exclusivo cerca de casa,"Dado que  el principal problema para el uso de la bici es donde dejarla cuando llegas  a casa, propongo instalar previa petición y en la proximidad del domicilio un aparcabicis exclusivo, previo pago de pequeña tasa anual para garantizar su uso",rejected,VG-PROP-2019-02-706,,,"<p>La proposta no es podria executar per motius tècnics. Es considera difícilment quantificable sense saber la demanda. No es considera adequat reservar un espai a la via pública per a un ús privat, sinó ampliar la xarxa d'aparcaments de bicicletes públics. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a&nbsp;<a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a>&nbsp;o al 938140000 ext 2040</p>",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2019-02-20 10:00:00 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/706,,
691,28.0,,,Equipaments municipals ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Demanda de contenidors de reciclatge,"Des de l'hort social de la Masia Nova es detecta la necessitat de disposar d'uns contenidors de reciclatge, concretament al carrer de la Vilanoveta o pels voltants, ja que per la zona l'únic contenidor que hi ha és de residus inorgànics. Aquesta necessitat es fa palesa tenint en compte que en aquell carrer s'hi troba el magatzem del Conforama, la seu de Formació i Treball, el Tanatori, i la Masia Nova, i la inexistència de contenidors de reciclatge dificulta en gran part poder fer una gestió sostenible dels residus produïts. ",rejected,VG-PROP-2019-02-691,,,"<p>S'ha trasllat com a una incidència al departament corresponent </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a&nbsp;<a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a>&nbsp;o al 938140000 ext 2040. Gràcies per participar.</p>",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2019-02-09 17:51:28 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/691,,
514,32.0,,,Altres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Subvencio de les terapies per infants amb discapacitat.,"Subvencionar les teràpies d´infants amb discapacitat, ( psicopedagogues, logopeda,psicòloga clínica, esportives, fisiopediatrica,  etc. ) per tal que aquests infants puguin tindre les teràpies que necessiten.",rejected,VG-PROP-2019-01-514,,,"<p>No és una inversió relacionada amb l'espai públic i/o la millora dels equipaments municipals</p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a&nbsp;<a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a>&nbsp;o al 938140000 ext 2040. Gràcies per participar</p>",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,2019-01-24 07:57:10 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/514,,
726,25.0,,,Ambiental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Utilització d'un tractament ecològic per als plataners d'ombra,"Abans que arribi la primavera s'hauria de trobar la solució definitiva per tractar el arbres que pateixen la  infecció que els fa caure les fulles abans d'hora i que pòtser estan possant  en perill la salut de la gent quan respirem, ja que sembla que les fulles estàn infectades per un fong. ",rejected,VG-PROP-2019-02-726,,,"<p>És una proposta poc concreta. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a&nbsp;<a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a>&nbsp;o al 938140000 ext 2040. Gràcies per participar.</p>",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,2019-02-11 01:32:58 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/726,,
609,26.0,,,Carrers i espai públic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Anivellament o Esfaltament,"Anivellament o esfaltament del descampat propietat del ajuntament que hi ha entre francesc macia i carrer moli de vent.

Aquest espai es fa servir com a parking i esta en molt males condicions acumulant bruticia i sent un perill amb les roques que hi han.",rejected,VG-PROP-2019-02-609,,,"<p>No és una proposta de competència municipal. El solar no és de titularitat municipal. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a&nbsp;<a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a>&nbsp;o al 938140000 ext 2040. Gràcies per participar.</p>",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2019-02-03 21:04:08 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/609,,
621,29.0,,,Espai gossos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,"Un espai de lleure per a gossos a Sant Jordi, la Geltrú i Bòbila","Els barris de Sant Jordi, la Geltrú i Bòbila estan creixent i amb això, la seva població de gossos. Cada dia, veins i mascotes ens reunim per fomentar el seu esbarjo i socialització. Cada dia els exposem al perill de les carreteres confrontants. A més, aquestes reunions disgusten a alguns veïns, que preferirien que els gossos juguessin en un altre lloc. Per tot això, demanem que l'ajuntament condicioni una zona pels cans. Coneixem de l'existència d’altres zones habilitades, pero estan massa lluny dels nostres barris. Els gossos s'han de socialitzar per evitar  onductes indesitjables i aquesta socialització ha de dur-se amb freqüència, el que resulta impossible si el trajecte fins a la zona habilitada ens ocupa pràcticament tot el temps disponible per passejar-les. L'espai més adequat podría ser el que es trova entre els carrers de la Indústria, Josep Maria Bultó i Sebastià Gumà. Està relativament a prop de qualsevol punt dels nostres barris i allunyat de qualsevol habitatge.",accepted,VG-PROP-2019-02-621,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,5,2019-02-05 13:33:52 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/621,,
519,26.0,,,Carrers i espai públic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Eixamplar les voreres del carrer de la Restauració,"El carrer de la Restauració  té unes voreres molt estretes, no hi cap més d'una persona, i si es va carregat amb alguna bossa, cal anar molt en compte per no tocar els cotxes que hi circulen. A més, a la cruïlla amb Anselm Clavé, els cotxes sempre han de pujar a la vorera per poder girar i és un perill per als vianants. Per això demano eixamplar-ne les voreres i no permetre-hi l'aparcament .",rejected,VG-PROP-2019-01-519,,,"<p>Supera els 30000 euros. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a&nbsp;<a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a>&nbsp;o al 938140000 ext 2040. Gràcies per participar.</p>",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2019-01-24 23:09:05 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/519,,
516,26.0,,,Carrers i espai públic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Asfaltar Vilanova,"Fa anys que Vilanova mostra un aspecte deixat i lleig dels seus carrers. Cal asfaltar diversos carrers de la ciutat, per no dir tots, i repintar senyals de tràfic. 
Arreglar carrers i voreres de la ciutat. ",rejected,VG-PROP-2019-01-516,,,"<p>Supera els 30000 euros. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a&nbsp;<a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a>&nbsp;o al 938140000 ext 2040. Gràcies per participar.</p>",,,,,,,,,,,,,,,,,,,,,,0,0,3,0,3,2019-01-24 04:14:41 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/516,,
522,29.0,,,Espai gossos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Creació d'un Pipican a la rambla Sant Jordi,"La proposta seria delimitar una de les illes verda de la rambla Sant Jordi i destinar-la a l'ús de Pipicans. D'aquesta manera reduiríem el problema d'incivisme que pateix la zona, on si troba una escola, llar d'infants i diferents parcs infantils.
Es tractaria d'instal·lar una tanca a una illa verda de les existents i dotar-la de tot el necessari segons normativa i ordenances.",rejected,VG-PROP-2019-01-522,,,"<p>La proposta no es podria executar per motius tècnics. No existeix cap solar municipal a la rambla Sant Jordi</p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a&nbsp;<a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a>&nbsp;o al 938140000 ext 2040</p>",,,,,,,,,,,,,,,,,,,,,,0,0,0,1,3,2019-01-25 10:51:07 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/522,,
525,29.0,,,Espai gossos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Pipican ermita Sant Joan,"Que en el Pipican de l'Ermita de Sant Joan, aquest mes net, que hi hagi mes manteniment, i que posin una font perquè els gossos puguin beure aigua.",rejected,VG-PROP-2019-01-525,,,"<p>És una actuació que s'està portant a terme i/o està prevista al pressupost municipal. Concretament, en els pressupostos participatius 2018 va guanyar la proposta ""Punts d'aigua per a caminants i corredors"" i davant de l'espai esmentat, s'ha instal·lat una font apte per a minusvàlids i animals de companyia a 100m de l'Ermita de Sant Joan. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a&nbsp;<a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a>&nbsp;o al 938140000 ext 2040. Gràcies per participar.</p>",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2019-01-25 11:28:38 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/525,,
515,24.0,,,Accessibilitat i mobilitat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Carril bici carretera general,Allargar el carril bici del carrer Jaume balmes cruïlla carrer de l’estany fins el torrent de sant joan,accepted,VG-PROP-2019-01-515,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,2019-02-06 07:51:36 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/515,,
517,31.0,,,Parcs infantils ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,http://participa.vilanova.cat/processes/pressupostosparticipatius2019?participatory_process_slug=pressupostosparticipatius2019,32,Parc infantil i zona verda al costat de l´escola Itaca,"Al costat de l´escola Itaca, av. la collada amb av. torre del Vallés hi ha un descampat que ara utilitzen famílies de l´escola i veïns perquè hi juguin els nens en acabar les classes però sobretot els veïns per passejar gossos.  Hi varen col·locar uns bancs aïllats on algunes families hi porten els nens a jugar en sortir de l´escola però no es suficient. Aquesta zona no disposa de cap equipament infantil tot i que hi ha dos escoles i un institut molt aprop i que es una zona en fortíssim creixement demogràfic . Proposo fer un parc infantil i una zona verda, donant continuïtat a la pista de bicicletes del costat. Desconec el pressupost ",accepted,VG-PROP-2019-01-517,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,2019-01-24 15:15:22 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2019/f/32/proposals/517,,
